;cd_instituic;cd_curso;sexo;ord_ingresso;cd_tip_est_sec;cd_hab_ant;cd_regime;idadeReal;trabalhadorEstudante;cd_inst_hab_ant;estado_civil;cd_cur_hab_ant;Ensino Outros Mae;Ensino Outros Pai;pais trabalham;Portugues;CNA;internacional;maiores 23;outros;1geracao;nota10-12;nota12-14;nota14-16;nota16-18;nota18-20;Abandono
861;2;12;1;1;1;1;0;18;0;253;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
866;2;12;0;1;1;1;0;18;0;313;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
867;2;21;0;4;1;1;2;18;0;313;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
869;2;12;1;1;1;1;0;18;0;313;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
879;2;21;0;2;1;1;2;17;1;333;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
881;2;21;0;2;1;1;2;18;0;343;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
895;2;18;1;1;1;1;0;22;0;248;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
902;2;21;1;2;1;1;2;17;0;80;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
903;3;4;0;2;1;1;0;18;0;121;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0
909;3;4;0;1;1;1;0;19;0;87;1;0;0;0;2;0;1;0;0;0;1;0;1;0;0;0;0
915;3;6;0;4;1;1;2;18;0;187;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
920;3;6;0;2;1;1;2;17;0;254;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
948;3;4;0;1;1;1;0;17;1;113;1;0;0;0;2;1;1;0;0;0;1;0;0;1;0;0;0
956;3;6;1;2;1;1;2;19;0;78;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
960;3;4;0;1;1;1;0;18;0;340;1;0;0;0;3;0;0;1;0;0;1;0;1;0;0;0;0
969;1;5;1;1;2;1;0;18;0;1;1;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0
971;1;8;0;1;1;1;0;19;1;340;1;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0
985;0;15;0;1;1;1;0;18;0;340;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0
988;1;14;1;1;1;31;0;22;0;59;1;119;0;0;2;1;0;0;0;1;1;0;0;0;1;0;0
992;0;7;0;1;1;4;1;33;1;47;1;143;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0
