;cd_instituic;cd_curso;sexo;ord_ingresso;cd_tip_est_sec;cd_hab_ant;cd_regime;idadeReal;trabalhadorEstudante;cd_inst_hab_ant;estado_civil;cd_cur_hab_ant;Ensino Outros Mae;Ensino Outros Pai;pais trabalham;Portugues;CNA;internacional;maiores 23;outros;1geracao;nota10-12;nota12-14;nota14-16;nota16-18;nota18-20;Abandono
637;0;2;0;5;1;1;2;18;0;305;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
639;0;2;1;1;1;1;2;19;0;119;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
649;0;15;1;2;1;1;0;17;1;310;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
651;0;19;1;1;1;1;0;18;0;310;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
652;0;11;0;1;1;1;0;18;0;310;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
653;0;15;0;2;1;1;0;18;0;310;1;0;0;0;2;1;1;0;0;0;1;1;0;0;0;0;0
655;0;0;1;3;1;1;0;19;0;224;1;0;0;0;3;1;1;0;0;0;1;0;0;0;1;0;0
661;0;23;0;2;1;1;2;19;0;110;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
662;0;24;1;2;1;1;2;20;0;325;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
663;0;24;0;1;1;1;2;26;1;110;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
670;0;23;0;1;1;1;2;19;1;113;1;0;0;0;2;1;1;0;0;0;1;0;0;1;0;0;0
671;0;2;0;2;1;1;2;19;0;113;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
673;0;16;1;1;1;1;0;18;0;113;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0
678;0;15;0;1;1;1;0;18;0;109;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
680;0;17;0;2;1;1;0;19;0;109;1;0;0;0;3;1;1;0;0;0;1;0;1;0;0;0;0
703;0;24;1;2;1;1;2;18;0;78;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
704;0;15;1;2;1;1;0;18;0;78;1;0;0;0;3;1;1;0;0;0;0;0;0;0;1;0;0
708;0;23;0;3;1;1;2;18;0;78;1;0;0;0;3;1;1;0;0;0;1;1;0;0;0;0;0
711;0;0;1;2;1;1;0;18;0;78;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
717;1;13;0;1;1;1;0;18;1;189;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
722;1;8;1;1;1;1;0;18;0;224;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0
734;1;5;1;3;1;1;0;17;0;182;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
738;1;5;1;2;1;1;0;18;1;202;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
740;1;5;1;1;1;1;0;18;0;81;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
745;1;8;1;2;1;1;0;18;0;300;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
747;1;13;1;5;1;1;0;18;0;163;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
751;1;14;1;2;2;1;0;19;0;344;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
752;1;5;1;1;1;1;0;18;0;344;1;0;0;0;3;1;1;0;0;0;0;0;1;0;0;0;0
755;1;8;1;1;1;1;0;17;0;209;1;0;0;0;3;1;1;0;0;0;1;0;0;1;0;0;0
757;1;8;1;1;1;1;0;18;0;209;1;0;0;0;3;1;1;0;0;0;0;0;1;0;0;0;0
765;1;5;1;1;1;1;0;19;0;73;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
767;1;9;1;3;1;1;2;19;1;305;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
775;1;13;1;3;1;1;0;18;0;313;1;0;0;0;2;1;1;0;0;0;1;0;0;1;0;0;0
776;1;10;1;1;1;1;0;18;0;313;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
787;2;12;1;2;1;1;0;18;0;81;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
793;1;9;1;4;1;1;2;19;0;59;1;105;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
796;1;13;1;1;1;1;0;18;0;119;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
800;1;5;1;1;1;1;0;18;0;79;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
803;1;8;1;1;1;1;0;19;0;79;1;0;0;0;3;1;1;0;0;0;1;0;1;0;0;0;0
812;2;12;1;1;1;1;0;20;0;190;1;0;0;0;3;1;1;0;0;0;1;0;1;0;0;0;0
815;2;18;0;2;1;1;0;21;0;75;1;0;0;0;2;1;1;0;0;0;0;0;0;1;0;0;0
817;2;18;1;1;1;1;0;18;0;161;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0
819;2;21;1;2;1;1;2;19;1;140;1;0;0;0;3;1;1;0;0;0;1;0;1;0;0;0;0
821;2;12;0;2;1;1;0;19;0;80;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
823;2;12;1;1;1;1;0;20;0;121;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
825;2;21;0;3;1;1;2;21;1;98;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
829;2;12;1;2;1;1;0;18;0;210;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
838;2;12;0;3;1;1;0;19;0;173;1;0;0;0;3;1;1;0;0;0;0;0;1;0;0;0;0
839;2;21;1;2;1;1;2;17;1;332;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
840;2;18;0;1;1;1;0;20;1;332;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0
844;2;21;0;4;1;1;2;18;0;273;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
846;2;12;0;1;1;1;0;18;0;178;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0
848;2;18;0;1;1;1;0;17;0;97;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
856;2;21;1;6;1;1;2;18;0;121;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
859;2;21;1;1;1;1;2;18;0;121;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
870;2;21;0;3;1;1;2;18;0;120;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
872;2;18;1;1;1;1;0;18;0;313;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0
874;2;12;0;2;1;1;0;17;0;73;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
891;2;18;0;1;1;1;0;19;0;313;1;0;0;0;2;1;1;0;0;0;0;0;0;1;0;0;0
894;3;6;0;1;1;1;2;19;0;121;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
901;2;12;0;1;1;1;0;18;0;80;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
905;3;4;0;2;1;1;0;18;0;121;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
908;3;6;0;1;1;1;2;18;1;308;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
916;3;4;0;1;1;1;0;18;0;284;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
922;3;6;1;2;1;1;2;19;0;254;1;0;0;0;3;1;1;0;0;0;1;0;1;0;0;0;0
923;3;4;0;2;1;1;0;19;0;255;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
929;3;6;1;2;1;1;2;21;1;305;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
950;3;4;0;1;1;1;0;18;0;113;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0
951;3;4;0;2;1;1;0;18;0;118;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
952;3;6;0;2;1;1;2;18;0;310;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
954;1;9;1;1;1;1;2;34;1;118;1;0;0;0;3;1;0;0;0;1;1;1;0;0;0;0;0
955;3;6;1;2;1;1;2;18;1;78;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
958;3;6;1;6;1;1;2;18;0;79;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
961;2;18;1;1;2;1;0;18;0;340;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
977;0;2;0;2;1;1;2;44;1;97;2;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0
981;0;24;1;2;1;31;2;20;0;34;1;121;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0
982;1;8;0;1;1;1;0;20;0;313;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
993;0;16;1;2;1;31;0;20;0;34;1;121;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0
